title,authors,abstract,categories,submission_date
"Real Deep Research forAI, Robotics and Beyond",Xueyan Zou; Jianglong Ye; Hao Zhang; Xiaoyu Xiang; Mingyu Ding; Zhaojing Yang; Yong Jae Lee; Zhuowen Tu; Sifei Liu; Xiaolong Wang,"With the rapid growth of research in AI and robotics now producing over 10,000 papers annually it has become increasingly difficult for researchers to stay up to date. Fast evolving trends, the rise of interdisciplinary work, and the need to explore domains beyond one's expertise all contribute to this challenge. To address these issues, we propose a gen… ▽ More",Artificial Intelligence (cs.AI) ; Computation and Language (cs.CL); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG),23 Oct 2025
AI-Enabled Digital Twins for Next-Generation Networks: Forecasting Traffic and Resource Management in 5G/6G,John Sengendo; Fabrizio Granelli,"…However, for Digital Twin Networks (DTNs) to meet the challenges faced by operators especially in line with resource management, a driving engine is needed. In this paper, an AI (Artificial Intelligence)-driven approach is presented by integrating a Long Short-Term Memory (LSTM) neural network into the DT framework, aimed at forecasting network traffic patt… ▽ More",Networking and Internet Architecture (cs.NI),23 Oct 2025
Out-of-distribution Tests Reveal Compositionality in Chess Transformers,Anna Mészáros; Patrik Reizinger; Ferenc Huszár,"…Chess) - a variant of chess where starting positions of pieces are randomized. We found that while the model exhibits basic strategy adaptation, they are inferior to symbolic AI algorithms that perform explicit search, but gap is smaller when playing against users on Lichess. Moreover, the training dynamics revealed that the model initially learns to move on… ▽ More",Machine Learning (cs.LG),23 Oct 2025
A Use-Case Specific Dataset for Measuring Dimensions of Responsible Performance in LLM-generated Text,Alicia Sagae; Chia-Jung Lee; Sandeep Avula; Brandon Dang; Vanessa Murdock,"Current methods for evaluating large language models (LLMs) typically focus on high-level tasks such as text generation, without targeting a particular AI application. This approach is not sufficient for evaluating LLMs for Responsible AI dimensions like fairness, since protected attributes that are highly relevant in… ▽ More",Computation and Language (cs.CL) ; Artificial Intelligence (cs.AI),23 Oct 2025
Empathic Prompting: Non-Verbal Context Integration for Multimodal LLM Conversations,Lorenzo Stacchio; Andrea Ubaldi; Alessandro Galdelli; Maurizio Mauri; Emanuele Frontoni; Andrea Gaggioli,"We present Empathic Prompting, a novel framework for multimodal human- AI interaction that enriches Large Language Model (LLM) conversations with implicit non-verbal context. The system integrates a commercial facial expression recognition service to capture users' emotional cues and embeds them as contextual signals during prompting. Unlike traditional m… ▽ More",Human-Computer Interaction (cs.HC) ; Artificial Intelligence (cs.AI); Computation and Language (cs.CL),23 Oct 2025
"Trust, But Verify: An Empirical Evaluation ofAI-Generated Code for SDN Controllers",Felipe Avencourt Soares; Muriel F. Franco; Eder J. Scheid; Lisandro Z. Granville,"Generative Artificial Intelligence ( AI ) tools have been used to generate human-like content across multiple domains (e.g., sound, image, text, and programming). However, their reliability in terms of correctness and functionality in novel contexts such as programmable networks remains unclear. Hence, this paper presents an empirical evaluation of the source… ▽ More",Networking and Internet Architecture (cs.NI),23 Oct 2025
Fusing Narrative Semantics for Financial Volatility Forecasting,Yaxuan Kong; Yoontae Hwang; Marcus Kaiser; Chris Vryonides; Roel Oomen; Stefan Zohren,"We introduce M2VN: Multi-Modal Volatility Network, a novel deep learning-based framework for financial volatility forecasting that unifies time series features with unstructured news data. M2VN leverages the representational power of deep neural networks to address two key challenges in this domain: (i) aligning and fusing heterogeneous data modalities, numerical financial data and textual informa… ▽ More",Computational Finance (q-fin.CP) ; Artificial Intelligence (cs.AI),23 Oct 2025
The Reasoning Lingua Franca: A Double-Edged Sword for MultilingualAI,Alan Saji; Raj Dabre; Anoop Kunchukuttan; Ratish Puduppully,"Large Reasoning Models (LRMs) achieve strong performance on mathematical, scientific, and other question-answering tasks, but their multilingual reasoning abilities remain underexplored. When presented with non-English questions, LRMs often default to reasoning in English, raising concerns about interpretability and the handling of linguistic and cultural nuances. We systematically compare an LRM'… ▽ More",Computation and Language (cs.CL) ; Artificial Intelligence (cs.AI),23 Oct 2025
"Deep Learning in Dental Image Analysis: A Systematic Review of Datasets, Methodologies, and Emerging Challenges",Zhenhuan Zhou; Jingbo Zhu; Yuchen Zhang; Xiaohang Guan; Peng Wang; Tao Li,"…the subjectivity arising from differences in clinicians' expertise, manual interpretation often proves time-consuming and prone to inconsistency. Artificial intelligence ( AI )-based automated dental image analysis (DIA) offers a promising solution to these issues and has become an integral part of computer-aided dental diagnosis and treatment. Among vario… ▽ More",Computer Vision and Pattern Recognition (cs.CV) ; Artificial Intelligence (cs.AI),23 Oct 2025
Quantum Processing Unit (QPU) processing time Prediction with Machine Learning,Lucy Xing; Sanjay Vishwakarma; David Kremer; Francisco Martin-Fernandez; Ismael Faro; Juan Cruz-Benito,…within quantum computing frameworks. This research not only highlights the potential of ML in refining quantum job predictions but also sets a foundation for integrating AI -driven tools in advanced quantum computing operations. ▽ More,Quantum Physics (quant-ph) ; Artificial Intelligence (cs.AI),23 Oct 2025
Towards the Formalization of a TrustworthyAIfor Mining Interpretable Models explOiting Sophisticated Algorithms,Riccardo Guidotti; Martina Cinquini; Marta Marchiori Manerba; Mattia Setzu; Francesco Spinnato,"…can be embedded within interpretable pipelines. By evaluating ethical measures during model generation, this framework establishes the theoretical foundations for developing AI systems that are not only accurate and interpretable but also fair, privacy-preserving, and causally aware, i.e., trustworthy. ▽ More",Artificial Intelligence (cs.AI),23 Oct 2025
PSO-XAI: A PSO-Enhanced ExplainableAIFramework for Reliable Breast Cancer Detection,Mirza Raquib; Niloy Das; Farida Siddiqi Prity; Arafath Al Fahim; Saydul Akbar Murad; Mohammad Amzad Hossain; MD Jiabul Hoque; Mohammad Ali Moni,"…probabilistic algorithms, and instance-based algorithms. To ensure interpretability and clinical relevance, the study uses cross-validation in conjunction with explainable AI methods. Experimental evaluation showed that the proposed approach achieved a superior score of 99.1\% across all performance metrics, including accuracy and precision, while effective… ▽ More",Machine Learning (cs.LG) ; Artificial Intelligence (cs.AI),23 Oct 2025
BUSTED at AraGenEval Shared Task: A Comparative Study of Transformer-Based Models for ArabicAI-Generated Text Detection,Ali Zain; Sareem Farooqui; Muhammad Rafi,"This paper details our submission to the Ara- GenEval Shared Task on Arabic AI -generated text detection, where our team, BUSTED, se- cured 5th place. We investigated the effec- tiveness of three pre-trained transformer mod- els: AraELECTRA, CAMeLBERT, and XLM- RoBERTa. Our approach involved fine-tuning each model on the provided dataset for a binary classifi… ▽ More",Computation and Language (cs.CL) ; Artificial Intelligence (cs.AI),23 Oct 2025
Strategic Costs of Perceived Bias in Fair Selection,L. Elisa Celis; Lingxiao Huang; Milind Sohoni; Nisheeth K. Vishnoi,"…a game-theoretic model in which candidates from different socioeconomic groups differ in their perceived post-selection value--shaped by social context and, increasingly, by AI -powered tools offering personalized career or salary guidance. Each candidate strategically chooses effort, balancing its cost against expected reward; effort translates into observab… ▽ More",Computer Science and Game Theory (cs.GT) ; Computers and Society (cs.CY); Machine Learning (cs.LG); Theoretical Economics (econ.TH),23 Oct 2025
Can ChatGPT Code Communication Data Fairly?: Empirical Evidence from Multiple Collaborative Tasks,Jiangang Hao; Wenju Cui; Patrick Kyllonen; Emily Kerzabi,"…be directly instructed with coding rubrics to code the communication data and achieves accuracy comparable to human raters. However, whether the coding from ChatGPT or similar AI technology exhibits bias against different demographic groups, such as gender and race, remains unclear. To fill this gap, this paper investigates ChatGPT-based automated coding of… ▽ More",Computation and Language (cs.CL) ; Artificial Intelligence (cs.AI),23 Oct 2025
EmbodiedBrain: Expanding Performance Boundaries of Task Planning for Embodied Intelligence,Ding Zou; Feifan Wang; Mengyu Ge; Siyuan Fan; Zongbing Zhang; Wei Chen; Lingfeng Wang; Zhongyou Hu; Wenrui Yan; Zhengwei Gao; Hao Wang; Weizhao Jin; Yu Zhang; Hainan Zhao; Mingliang Zhang; Xianxian Xi; Yaru Zhang; Wenyuan Li; Zhengguang Gao; Yurui Zhu,"The realization of Artificial General Intelligence (AGI) necessitates Embodied AI agents capable of robust spatial perception, effective task planning, and adaptive execution in physical environments. However, current large language models (LLMs) and multimodal LLMs (MLLMs) for embodied tasks suffer from key limitations, including a significant gap between m… ▽ More",Computer Vision and Pattern Recognition (cs.CV) ; Robotics (cs.RO),23 Oct 2025
"Stacked Intelligent Metasurfaces for 6G Wireless Networks: Principles, Applications, and Research Directions",Enyu Shi; Jiayi Zhang; Zhilong Liu; Ziheng Liu; Arumugam Nallanathan; Merouane Debbah; Shi Jin; Bo Ai,"The sixth-generation (6G) wireless networks are expected to deliver ubiquitous connectivity, resilient coverage, and intelligence-driven services in highly dynamic environments. To achieve these goals, distributed wireless architectures such as cell-free massive multiple-input multiple-output (MIMO) have attracted significant attention due to their scalability and fairness. Recently, stacked intel… ▽ More",Information Theory (cs.IT),23 Oct 2025
Lost in Translation: Policymakers are not really listening to Citizen Concerns aboutAI,Susan Ariel Aaronson; Michael Moreno,"The worlds people have strong opinions about artificial intelligence ( AI ), and they want policymakers to listen. Governments are inviting public comment on… ▽ More",Artificial Intelligence (cs.AI),23 Oct 2025
AdaDoS: Adaptive DoS Attack via Deep Adversarial Reinforcement Learning in SDN,Wei Shao; Yuhao Wang; Rongguang He; Muhammad Ejaz Ahmed; Seyit Camtepe,"…mitigating rule-based Denial-of-Service (DoS) attacks, leveraging predefined signatures and static heuristics to identify and block malicious traffic. However, the emergence of AI -driven techniques presents new challenges to SDN security, potentially compromising the efficacy of existing defence mechanisms. In this paper, we introduce~AdaDoS, an adaptive att… ▽ More",Cryptography and Security (cs.CR) ; Artificial Intelligence (cs.AI),23 Oct 2025
Adversary-Aware Private Inference over Wireless Channels,Mohamed Seif; Malcolm Egan; Andrea J. Goldsmith; H. Vincent Poor,AI -based sensing at wireless edge devices has the potential to significantly enhance Artificial Intelligence (… ▽ More,Information Theory (cs.IT) ; Cryptography and Security (cs.CR); Machine Learning (cs.LG),23 Oct 2025
Robust Preference Alignment via Directional Neighborhood Consensus,Ruochen Mao; Yuling Shi; Xiaodong Gu; Jiaheng Wei,"Aligning large language models with human preferences is critical for creating reliable and controllable AI systems. A human preference can be visualized as a high-dimensional vector where different directions represent trade-offs between desired attributes (e.g., helpfulness vs. verbosity). Yet, because the training data often reflects dominant, average pre… ▽ More",Computation and Language (cs.CL),23 Oct 2025
Steering Evaluation-Aware Language Models To Act Like They Are Deployed,Tim Tian Hua; Andrew Qin; Samuel Marks; Neel Nanda,"…it is deployed even when the cue is present. Importantly, we constructed our steering vector using the original model before our additional training. Our results suggest that AI evaluators could improve the reliability of safety evaluations by steering models to act like they are deployed. ▽ More",Computation and Language (cs.CL) ; Artificial Intelligence (cs.AI),23 Oct 2025
Transferable Black-Box One-Shot Forging of Watermarks via Image Preference Models,Tomáš Souček; Sylvestre-Alvise Rebuffi; Pierre Fernandez; Nikola Jovanović; Hady Elsahar; Valeriu Lacatusu; Tuan Tran; Alexandre Mourachko,"…a surge in interest in digital content watermarking techniques, driven by the proliferation of generative models and increased legal pressure. With an ever-growing percentage of AI -generated content available online, watermarking plays an increasingly important role in ensuring content authenticity and attribution at scale. There have been many works assessi… ▽ More",Machine Learning (cs.LG) ; Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR); Computer Vision and Pattern Recognition (cs.CV),23 Oct 2025
Relative-Based Scaling Law for Neural Language Models,Baoqing Yue; Jinyuan Zhou; Zixi Wei; Jingtao Zhan; Qingyao Ai; Yiqun Liu,"Scaling laws aim to accurately predict model performance across different scales. Existing scaling-law studies almost exclusively rely on cross-entropy as the evaluation metric. However, cross-entropy provides only a partial view of performance: it measures the absolute probability assigned to the correct token, but ignores the relative ordering between correct and incorrect tokens. Yet, relative… ▽ More",Machine Learning (cs.LG) ; Artificial Intelligence (cs.AI); Computation and Language (cs.CL),23 Oct 2025
A Transformer InspiredAI-based MIMO receiver,András Rácz; Tamás Borsos; András Veres; Benedek Csala,"We present AttDet, a Transformer-inspired MIMO (Multiple Input Multiple Output) detection method that treats each transmit layer as a token and learns inter-stream interference via a lightweight self-attention mechanism. Queries and keys are derived directly from the estimated channel matrix, so attention scores quantify channel correlation. Values are initialized by matched-filter outputs and ite… ▽ More",Signal Processing (eess.SP) ; Machine Learning (cs.LG),23 Oct 2025
What doAI-Generated Images Want?,Amanda Wasielewski,"…humans who create them to the possibility that the picture itself is an entity with agency and wants. In this article, I reframe Mitchell's question in light of contemporary AI image generation tools to ask: what do… ▽ More",Computers and Society (cs.CY) ; Artificial Intelligence (cs.AI),23 Oct 2025
Collateral Damage Assessment Model forAISystem Target Engagement in Military Operations,Clara Maathuis; Kasper Cools,"In an era where AI (Artificial Intelligence) systems play an increasing role in the battlefield, ensuring responsible targeting demands rigorous assessment of potential collateral effects. In this context, a novel collateral damage assessment model for target engagement of… ▽ More",Artificial Intelligence (cs.AI),23 Oct 2025
Bias by Design? How Data Practices Shape Fairness inAIHealthcare Systems,Anna Arias-Duart; Maria Eugenia Cardello; Atia Cortés,"Artificial intelligence ( AI ) holds great promise for transforming healthcare. However, despite significant advances, the integration of… ▽ More",Artificial Intelligence (cs.AI),23 Oct 2025
Precision Measurement of $D_{s}^{*+} - D_{s}^{+}$ Mass Difference with $D_{s}^{*+} \to D_{s}^{+}(\to K^{+} K^{-} π^{+})π^{0}$,BESIII Collaboration; M. Ablikim; M. N. Achasov; P. Adlarson; X. C. Ai; R. Aliberti; A. Amoroso; Q. An; Y. Bai; O. Bakina; Y. Ban; H. -R. Bao; V. Batozskaya; K. Begzsuren; N. Berger; M. Berlowski; M. B. Bertani; D. Bettoni; F. Bianchi; E. Bianco; A. Bortone; I. Boyko; R. A. Briere; A. Brueggemann; H. Cai,"We measure the mass difference between $D_{s}^{*+}$ and $D_{s}^{+}$, $Δm_s$, using the decay chain $D_{s}^{*+} \to D_{s}^{+}(\to K^{+} K^{-} π^{+})π^{0}$, utilizing $e^+e^-$ annihilation data corresponding to an integrated luminosity of 3.19 fb$^{-1}$ collected at a center-of-mass energy of 4.178 GeV with the BESIII detector. The measured value of… ▽ More",High Energy Physics - Experiment (hep-ex),23 Oct 2025
